Order_ID,Date,Product_Category,Region,Sales_Channel,Quantity,Unit_Price,Total_Revenue,Profit_Margin,Net_Profit
10001,2024-04-12,Laptops,North America,In-Store,2,82.85628848899142,165.71257697798285,0.3049035328642438,50.52635016062493
10002,2025-03-11,Wearables,North America,Distributor,3,581.109458421876,1743.328375265628,0.18825943155180724,328.1980089356428
10003,2024-09-27,Wearables,North America,In-Store,4,328.96186464641283,1315.8474585856513,0.25857055238883564,340.2394042259374
10004,2024-04-16,Smartphones,Europe,Online,4,643.8241666162331,2575.2966664649325,0.13918655571408792,358.4466729472262
10005,2024-03-12,Laptops,Europe,Online,4,654.7081861081525,2618.83274443261,0.16903284263637308,442.6687431806584
10006,2025-12-01,Wearables,North America,In-Store,2,916.1327672886136,1832.2655345772273,0.190917590264992,349.8117205870816
10007,2024-01-21,Smartphones,Africa,Online,4,670.8178720469375,2683.27148818775,0.12182797947476821,326.897543788168
10008,2025-09-06,Laptops,Africa,Distributor,2,756.4095486946096,1512.8190973892192,0.3654965817012289,552.9302088280981
10009,2024-05-01,Smartphones,Europe,In-Store,4,659.09356898955,2636.3742759582,0.13679325316756102,360.63821377559543
10010,2025-04-11,Laptops,North America,Distributor,4,1188.934049543704,4755.736198174816,0.30905161782563584,1469.7679659978658
10011,2024-08-02,Wearables,Africa,Distributor,2,960.3622662117078,1920.7245324234157,0.25169856064535423,483.4436002071947
10012,2024-11-26,Laptops,Africa,In-Store,2,918.9917822026136,1837.9835644052273,0.349530348572742,642.4310359375299
10013,2025-04-03,Laptops,Europe,In-Store,3,771.3483801428284,2314.0451404284854,0.32231072446500453,745.8415656562282
10014,2024-03-28,Laptops,Europe,Online,1,657.6263042304631,657.6263042304631,0.32792140160190575,215.64973941353475
10015,2025-01-07,Laptops,Africa,Online,4,446.47071054732436,1785.8828421892974,0.2255038832973548,402.7235160278036
10016,2024-04-09,Smartphones,North America,In-Store,4,951.5631150014426,3806.2524600057704,0.3501928407688262,1332.9223616527536
10017,2025-10-25,Smartphones,Africa,In-Store,1,268.0505413452739,268.0505413452739,0.12842256267604174,34.42373744626036
10018,2024-05-10,Laptops,Africa,Online,1,92.03123493033199,92.03123493033199,0.23332570475819256,21.473252749886502
10019,2025-10-23,Laptops,North America,Online,1,852.8978512073164,852.8978512073164,0.3983842182400015,339.78104369180386
10020,2024-11-04,Laptops,Europe,Online,4,216.57945129554358,866.3178051821743,0.3844343635127607,333.042334034981
10021,2024-12-09,Smartphones,North America,In-Store,4,1089.3999951750707,4357.599980700283,0.12466377549463625,543.2348656894513
